ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Carnegie Parent,Carnegie Parent,ID Carnegie,Carnegie,ID University,University,ID Degree,Degree,Completions,Slug University,Slug CIP6
10,Communication Technologies,1003,Graphic Communications,100304,"Animation, Interactive Technology, Video Graphics, & Special Effects",2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,6,new-york-university,animation-interactive-technology-video-graphics-special-effects
11,Computer and Information Sciences and Support Services,1101,General Computer & Information Sciences,110101,General Computer & Information Sciences,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,231,new-york-university,general-computer-information-sciences-110101
11,Computer and Information Sciences and Support Services,1101,General Computer & Information Sciences,110103,Information Technology,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,38,new-york-university,information-technology
11,Computer and Information Sciences and Support Services,1101,General Computer & Information Sciences,110199,Other Computer & Information Sciences,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,7,new-york-university,other-computer-information-sciences
11,Computer and Information Sciences and Support Services,1108,Computer Software & Media Applications,110803,Computer Graphics,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,0,new-york-university,computer-graphics
11,Computer and Information Sciences and Support Services,1108,Computer Software & Media Applications,110899,Other Computer Software & Media Applications,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,13,new-york-university,other-computer-software-media-applications
11,Computer and Information Sciences and Support Services,1109,Networking & Telecommunication Systems,110901,Computer Systems Networking & Telecommunications,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,0,new-york-university,computer-systems-networking-telecommunications
11,Computer and Information Sciences and Support Services,1199,Other Computer Service Studies,119999,Other Computer & Information Support Services,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,0,new-york-university,other-computer-information-support-services
13,Education,1301,General Education,130101,General Education,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,4,new-york-university,general-education-130101
13,Education,1312,Teacher Education at Specific Levels & Methods,131202,Elementary Education & Teaching,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,37,new-york-university,elementary-education-teaching
13,Education,1312,Teacher Education at Specific Levels & Methods,131210,Early Childhood Education & Teaching,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,18,new-york-university,early-childhood-education-teaching
13,Education,1313,Teacher Education for Specific Subject Areas,131305,English & Language Arts Teacher Education,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,4,new-york-university,english-language-arts-teacher-education
